variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,age_std,model,job,run,fold,a,b,nparam,trafo_target_slope
loc,loc[0],"(0,)",40000,-1.309239253215679,8.1995132997644e-4,0.0286347922984688,1.0009778851360702,6160.487620283787,10316.771393270044,3.6485255696963e-4,1.9994642844369e-4,-1.3561591271272735,-1.3094923197598942,-1.262384894617126,-1.3566038163569034,-1.2629846192399048,-1.37347322292815,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
loc,loc[1],"(1,)",40000,-0.8591779036132999,2.2288432627033e-4,0.01492931097774882,1.0009173522687194,6004.538476760922,10043.912360635795,1.9275122362937e-4,1.0293516432118e-4,-0.8836598641527436,-0.8591981263459694,-0.8345474719451401,-0.8840477271024423,-0.8349766216143353,-1.3519040526854789,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
loc,loc[2],"(2,)",40000,-0.5369457966134179,2.0170444688634e-4,0.01420226907526909,1.001171702284778,5935.9914621841735,9776.902052656294,1.8441818976082e-4,9.56109369396888e-5,-0.560275099979116,-0.5370635197137971,-0.513790590828304,-0.5602278710507589,-0.5137633193121266,-1.3303348824428076,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
loc,loc[3],"(3,)",40000,-0.3244441039340824,2.8481837658335e-4,0.01687656293749881,1.001142236953478,5932.763638405537,9815.741905522029,2.1915283017172e-4,1.1491692556867e-4,-0.3519608487322448,-0.32447075751322996,-0.29642885782211803,-0.35238257292857444,-0.29690856755585165,-1.3087657122001366,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
loc,loc[4],"(4,)",40000,-0.20357399729326883,3.0244459784212e-4,0.0173909343579386,1.0011467855764011,5999.993450790222,9606.467791342257,2.2461033757619e-4,1.1873365450368e-4,-0.23206805046056125,-0.2034426943131274,-0.1749056567615707,-0.2330353336378476,-0.17609177962873887,-1.2871965419574654,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
loc,loc[5],"(5,)",40000,-0.15623664840900198,2.509452092996e-4,0.01584125024420755,1.001162020755905,6105.348621740669,10068.549995156996,2.0278007715436e-4,1.0806904481624e-4,-0.1824467423715266,-0.1561044890003512,-0.1301948392913223,-0.1830069140742481,-0.13084445717533255,-1.2656273717147943,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
loc,loc[6],"(6,)",40000,-0.16433322899928626,1.8998131502394e-4,0.01378337096010787,1.001047450165654,6247.706515320778,9759.39948755388,1.743954999308e-4,9.46631518848274e-5,-0.18701154346657467,-0.16427694911866103,-0.14142728753152034,-0.18621634892826425,-0.1408144366263487,-1.244058201472123,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
loc,loc[7],"(7,)",40000,-0.2097649107821296,1.7249198463032e-4,0.01313362039311054,1.0007436478480076,6223.087261098611,9881.58630028494,1.6641592600976e-4,9.274619293562e-5,-0.23137135628022384,-0.20981936245786387,-0.18795682977814288,-0.2321634656381161,-0.189021893341164,-1.222489031229452,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
loc,loc[8],"(8,)",40000,-0.27443286547553597,2.0749678423754e-4,0.0144047486697111,1.0004883313616986,6048.110813116391,10022.00093804657,1.8516345374174e-4,1.0217885132746e-4,-0.29819507450604094,-0.2744334190021845,-0.2509057829776738,-0.2984199155681342,-0.25118171345123197,-1.2009198609867808,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
loc,loc[9],"(9,)",40000,-0.34039685445374024,2.5602367104661e-4,0.01600073970310789,1.0004577431457349,5924.630541563472,10038.443430964204,2.0785867898297e-4,1.1277678415844e-4,-0.36678464131958216,-0.34042150515306946,-0.31382904988030835,-0.3674084333863575,-0.3145073446734639,-1.1793506907441096,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
